"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_58600",-0.6229,3.5783,-0.7624,1.6464,-0.9806,-0.7912,0.381,-1.123,-1.0567,-2.1964,-0.3203,-0.0412,1.7277,0,0.831
"PA14_58610",-0.2236,0.5852,-0.7833,0.1003,-0.3914,0.5252,0.222,-0.0745,0.3548,1.3983,1.8499,0.787,0.3669,0,-0.9024
"PA14_58620",0.954,0.5733,0.4568,-0.8538,0.1693,0.2352,0.3232,0.248,0.2778,0.7941,0.533,-0.1677,-0.4548,0,0.4419
"PA14_58630",0.4355,-4.2261,1.631,-2.2738,4.0236,2.3766,-0.666,-0.37,-3.0553,-0.8864,-2.8304,-0.5842,0.9294,0,-1.588
"PA14_58650",-6.1649,-2.5535,-3.9318,-1.0495,-2.4972,-2.1766,-2.676,-0.7772,-2.565,-4.2877,0.4158,-1.8552,-1.8699,0,-0.7478
"PA14_58660",3.2392,-0.504,-0.6548,-0.868,-2.2501,-0.046,2.5674,2.9415,0.9309,3.1803,4.0402,-1.6074,2.238,0,2.6641
"PA14_58670",-0.3152,3.4182,-0.7836,-3.4323,1.3085,4.7936,5.6064,0.479,6.6243,0.6754,3.5107,6.5812,-1.9337,0,3.7766
"PA14_58690",-0.8512,0.8704,-0.0934,0.0171,-0.204,-0.1148,0.3788,-0.1824,0.1338,0.1906,0.7452,0.5751,-0.1702,0,0.0166
"PA14_58700",0.7502,2.7963,1.6976,-0.2426,0.6156,-0.4709,1.5346,0.4049,1.9593,2.276,2.7529,0.7836,1.5253,0,1.1472
"PA14_58720",-0.105,-1.3528,-0.7523,-1.6301,-0.6704,-0.3819,-1.7067,-1.6175,-1.6915,-2.0232,-2.1714,0.7677,-1.4471,0,-1.6631
"PA14_58730",-0.4615,-4.7628,-3.4823,-2.3989,-1.6952,-0.7514,-5.1523,-3.5612,-3.746,-7.8468,-5,1.6714,-3.4187,0,0.3652
"PA14_58740",-12.765,-2.3458,13.0714,-4.8129,8.9924,-2.5219,-10.5175,-8.5558,10.3574,0.5282,-7.2273,4.678,7.0513,0,-2.0464
