"","PRJNA291292:ampicillin:PA14","PRJNA291292:silver_nitrate:PA14","PRJNA291292:aztreonam:PA14","PRJNA291292:bleach:PA14","PRJNA291292:benzalkonium_chloride:PA14","PRJNA291292:carbenicillin:PA14","PRJNA291292:cefoperazone:PA14","PRJNA291292:ciprofloxacin:PA14","PRJNA291292:gentamicin:PA14","PRJNA291292:neomycin:PA14","PRJNA291292:polymyxin_B:PA14","PRJNA291292:povidone-iodine:PA14","PRJNA291292:tobramycin:PA14","PRJNA291292:water:PA14","PRJNA291292:H2O2:PA14"
"PA14_20740",0.5841,0.0482,-1.0547,0.645,-0.1104,-0.3711,-0.7405,-0.1682,-1.5412,-0.1986,0.4906,1.0486,-0.7995,-0.4286,-0.461
"PA14_20750",0.423,1.164,-0.84,1.5137,0.4825,-0.2036,0.4838,-0.6138,-0.0684,-0.6745,0.075,1.279,-0.1034,-0.3462,0.4247
"PA14_20760",-1.3391,-0.1608,-0.4171,0.9856,0.61,1.0573,-0.4234,0.1237,0.9122,0.8277,-1.3908,1.3113,-0.2478,-0.9011,-0.3145
"PA14_20770",-1.1263,-0.3117,0.4197,0.0163,-1.0774,-0.2408,-0.4828,0.1666,-0.3344,0.4924,0.816,-0.6978,-0.3255,-0.2422,0.0227
"PA14_20780",-0.5336,0.0769,-0.0284,-0.1042,0.5848,0.0452,0.2722,-0.126,1.2165,0.4122,-0.8822,1.0018,0.0696,0.3388,-1.0448
"PA14_20800",0.2924,-0.6814,0.006,-1.3114,-0.1583,-0.9547,-0.6119,-0.4905,0.7534,0.1873,0.6301,-1.1579,0.0615,0.1714,-0.2834
"PA14_20810",-0.8398,-0.8226,0.0166,-0.4113,-0.3733,-0.1296,-0.8917,0.5262,1.2203,0.0091,-0.8733,-0.6826,-0.0686,-0.0363,-0.6285
"PA14_20820",0.3878,0.0776,-0.7141,0.4708,-0.4406,-0.4658,-0.3412,-0.2954,0.09,-0.9177,0.2506,0.7906,-0.2023,0.4791,-0.253
"PA14_20840",1.4946,0.7466,-0.4463,-0.1069,-0.3481,-0.7302,1.15,-0.8632,0.5401,0.1788,-0.0069,6.4616,-1.4227,-0.0958,1.1554
"PA14_20850",-0.2862,2.4646,-0.4978,-0.8406,-1.0652,-1.2775,-2.3274,-0.7406,0.881,-0.3002,1.8144,-0.426,0.8872,0.1757,0.0985
"PA14_20860",0.2844,-0.9967,-0.2185,-1.1448,0.9975,-0.2036,0.6586,0.297,1.1454,1.0262,-0.4032,-1.3975,0.1972,0.7148,-0.3894
"PA14_20870",-0.6416,-0.18,1.0369,0.1895,1.2681,-1.2499,-0.7208,0.2474,-0.6476,-0.3899,-1.2742,0.4948,0.0428,0.2805,-1.5149
"PA14_20880",0.3153,-0.8842,0.7305,-1.1986,-1.3169,0.4619,-0.306,-0.5439,0.1269,0.1492,0.73,-1.6605,1.7137,-0.56,0.306
"PA14_20890",-0.0492,2.8785,-0.0405,-0.8678,0.1953,-1.4294,-3.1875,-0.4737,-0.3131,-0.1616,3.9943,-0.3524,1.2368,0.5176,-0.7174
"PA14_20900",0.727,-0.0886,0.2912,-1.0789,-0.1085,0.3445,0.8401,-1.8704,-1.2966,-1.4282,-0.1348,-0.1294,-0.5866,0.2162,2.1456
"PA14_20920",1.2403,0.2526,0.2598,-1.3063,-1.4478,-0.505,1.423,0.3699,-0.5375,-0.2987,-0.114,-0.9411,-0.7646,-0.5089,0.6905
